entity_type,json_payload
Category,"{""id"": 1, ""name"": ""Meats"", ""description"": ""Fresh and frozen meats""}"
Supplier,"{""id"": 1, ""name"": ""Keells Foods"", ""contact_email"": ""keells@example.com"", ""contact_phone"": ""+94 11 234 5678""}"
Supplier,"{""id"": 2, ""name"": ""Bairaha Farms"", ""contact_email"": ""bairaha@example.com"", ""contact_phone"": ""+94 11 876 5432""}"
Supplier,"{""id"": 3, ""name"": ""Cargills Quality Foods"", ""contact_email"": ""cargills@example.com"", ""contact_phone"": ""+94 11 555 1234""}"
Supplier,"{""id"": 4, ""name"": ""Prima Bakery"", ""contact_email"": ""prima@example.com"", ""contact_phone"": ""+94 11 444 9876""}"
Supplier,"{""id"": 5, ""name"": ""Kist Agri"", ""contact_email"": ""kist@example.com"", ""contact_phone"": ""+94 11 333 4567""}"
Product,"{""id"": 1, ""name"": ""Keells Chicken Sausage 100g"", ""desc"": ""Premium chicken sausages"", ""cat_id"": 1, ""reorder"": 50, ""img"": ""keels_chicken_sausage_100g.png""}"
Product,"{""id"": 2, ""name"": ""Bairaha Chicken Breast 500g"", ""desc"": ""Fresh chicken breast"", ""cat_id"": 1, ""reorder"": 30, ""img"": ""bairaha_chicken_breast.png""}"
Product,"{""id"": 3, ""name"": ""Cargills Magic Ice Cream 1L"", ""desc"": ""Vanilla ice cream"", ""cat_id"": 1, ""reorder"": 20, ""img"": ""cargills_magic_1l.png""}"
Product,"{""id"": 4, ""name"": ""Prima Kottu Mee"", ""desc"": ""Instant noodles"", ""cat_id"": 1, ""reorder"": 100, ""img"": ""prima_kottu_mee.png""}"
Product,"{""id"": 5, ""name"": ""Kist Tomato Ketchup 500g"", ""desc"": ""Tomato ketchup"", ""cat_id"": 1, ""reorder"": 40, ""img"": ""kist_tomato_ketchup.png""}"
Product,"{""id"": 6, ""name"": ""Keells Chicken Meatballs 200g"", ""desc"": ""Chicken meatballs"", ""cat_id"": 1, ""reorder"": 40, ""img"": ""keells_meatballs.png""}"
Product,"{""id"": 7, ""name"": ""Bairaha Whole Chicken 1kg"", ""desc"": ""Whole fresh chicken"", ""cat_id"": 1, ""reorder"": 20, ""img"": ""bairaha_whole.png""}"
Product,"{""id"": 8, ""name"": ""Cargills Fresh Milk 1L"", ""desc"": ""Pasteurized milk"", ""cat_id"": 1, ""reorder"": 60, ""img"": ""cargills_milk.png""}"
Product,"{""id"": 9, ""name"": ""Prima Crust Bread"", ""desc"": ""Sliced bread"", ""cat_id"": 1, ""reorder"": 50, ""img"": ""prima_bread.png""}"
Product,"{""id"": 10, ""name"": ""Kist Mango Jam 300g"", ""desc"": ""Fruit jam"", ""cat_id"": 1, ""reorder"": 30, ""img"": ""kist_jam.png""}"
StockBatch,"{""id"": 68, ""product_id"": 5, ""supplier_id"": 2, ""cost"": 288.78, ""retail"": 375.42, ""qty"": 158, ""date"": ""2022-01-17T13:02:27"", ""exp"": ""2022-04-17T13:02:27""}"
StockBatch,"{""id"": 54, ""product_id"": 4, ""supplier_id"": 5, ""cost"": 145.36, ""retail"": 188.97, ""qty"": 123, ""date"": ""2022-01-29T09:58:22"", ""exp"": ""2022-04-29T09:58:22""}"
StockBatch,"{""id"": 56, ""product_id"": 4, ""supplier_id"": 4, ""cost"": 156.13, ""retail"": 202.96, ""qty"": 139, ""date"": ""2022-02-15T15:36:50"", ""exp"": ""2022-05-16T15:36:50""}"
StockBatch,"{""id"": 20, ""product_id"": 2, ""supplier_id"": 3, ""cost"": 1194.03, ""retail"": 1552.23, ""qty"": 140, ""date"": ""2022-02-26T20:57:28"", ""exp"": ""2022-05-27T20:57:28""}"
StockBatch,"{""id"": 148, ""product_id"": 10, ""supplier_id"": 1, ""cost"": 438.65, ""retail"": 570.24, ""qty"": 172, ""date"": ""2022-02-27T07:22:45"", ""exp"": ""2022-05-28T07:22:45""}"
StockBatch,"{""id"": 16, ""product_id"": 2, ""supplier_id"": 2, ""cost"": 1208.07, ""retail"": 1570.49, ""qty"": 195, ""date"": ""2022-02-27T13:14:53"", ""exp"": ""2022-05-28T13:14:53""}"
StockBatch,"{""id"": 10, ""product_id"": 1, ""supplier_id"": 1, ""cost"": 446.36, ""retail"": 580.27, ""qty"": 75, ""date"": ""2022-04-14T22:45:48"", ""exp"": ""2022-07-13T22:45:48""}"
StockBatch,"{""id"": 11, ""product_id"": 1, ""supplier_id"": 5, ""cost"": 449.95, ""retail"": 584.93, ""qty"": 200, ""date"": ""2022-05-02T14:00:40"", ""exp"": ""2022-07-31T14:00:40""}"
StockBatch,"{""id"": 132, ""product_id"": 9, ""supplier_id"": 1, ""cost"": 257.64, ""retail"": 334.93, ""qty"": 94, ""date"": ""2022-05-05T12:11:52"", ""exp"": ""2022-08-03T12:11:52""}"
StockBatch,"{""id"": 122, ""product_id"": 9, ""supplier_id"": 5, ""cost"": 255.5, ""retail"": 332.16, ""qty"": 53, ""date"": ""2022-05-05T12:36:43"", ""exp"": ""2022-08-03T12:36:43""}"
StockBatch,"{""id"": 2, ""product_id"": 1, ""supplier_id"": 4, ""cost"": 461.68, ""retail"": 600.18, ""qty"": 135, ""date"": ""2022-05-13T21:52:54"", ""exp"": ""2022-08-11T21:52:54""}"
StockBatch,"{""id"": 27, ""product_id"": 2, ""supplier_id"": 4, ""cost"": 1230.27, ""retail"": 1599.35, ""qty"": 75, ""date"": ""2022-05-14T04:44:49"", ""exp"": ""2022-08-12T04:44:49""}"
StockBatch,"{""id"": 50, ""product_id"": 4, ""supplier_id"": 2, ""cost"": 154.7, ""retail"": 201.11, ""qty"": 166, ""date"": ""2022-05-16T07:06:20"", ""exp"": ""2022-08-14T07:06:20""}"
StockBatch,"{""id"": 47, ""product_id"": 4, ""supplier_id"": 1, ""cost"": 153.48, ""retail"": 199.53, ""qty"": 106, ""date"": ""2022-05-17T17:06:35"", ""exp"": ""2022-08-15T17:06:35""}"
StockBatch,"{""id"": 134, ""product_id"": 9, ""supplier_id"": 2, ""cost"": 249.28, ""retail"": 324.06, ""qty"": 150, ""date"": ""2022-05-24T14:16:52"", ""exp"": ""2022-08-22T14:16:52""}"
