entity_type,json_payload
Category,"{""id"": 1, ""name"": ""Meats"", ""description"": ""Fresh and frozen meats""}"
Supplier,"{""id"": 1, ""name"": ""Keells Foods"", ""contact_info"": ""keells@example.com""}"
Supplier,"{""id"": 2, ""name"": ""Bairaha Farms"", ""contact_info"": ""bairaha@example.com""}"
Supplier,"{""id"": 3, ""name"": ""Cargills Quality Foods"", ""contact_info"": ""cargills@example.com""}"
Supplier,"{""id"": 4, ""name"": ""Prima Bakery"", ""contact_info"": ""prima@example.com""}"
Supplier,"{""id"": 5, ""name"": ""Kist Agri"", ""contact_info"": ""kist@example.com""}"
Product,"{""id"": 1, ""name"": ""Keells Chicken Sausage 100g"", ""desc"": ""Premium chicken sausages"", ""cat_id"": 1, ""reorder"": 50, ""img"": ""keels_chicken_sausage_100g.png""}"
Product,"{""id"": 2, ""name"": ""Bairaha Chicken Breast 500g"", ""desc"": ""Fresh chicken breast"", ""cat_id"": 1, ""reorder"": 30, ""img"": ""bairaha_chicken_breast.png""}"
Product,"{""id"": 3, ""name"": ""Cargills Magic Ice Cream 1L"", ""desc"": ""Vanilla ice cream"", ""cat_id"": 1, ""reorder"": 20, ""img"": ""cargills_magic_1l.png""}"
Product,"{""id"": 4, ""name"": ""Prima Kottu Mee"", ""desc"": ""Instant noodles"", ""cat_id"": 1, ""reorder"": 100, ""img"": ""prima_kottu_mee.png""}"
Product,"{""id"": 5, ""name"": ""Kist Tomato Ketchup 500g"", ""desc"": ""Tomato ketchup"", ""cat_id"": 1, ""reorder"": 40, ""img"": ""kist_tomato_ketchup.png""}"
Product,"{""id"": 6, ""name"": ""Keells Chicken Meatballs 200g"", ""desc"": ""Chicken meatballs"", ""cat_id"": 1, ""reorder"": 40, ""img"": ""keells_meatballs.png""}"
Product,"{""id"": 7, ""name"": ""Bairaha Whole Chicken 1kg"", ""desc"": ""Whole fresh chicken"", ""cat_id"": 1, ""reorder"": 20, ""img"": ""bairaha_whole.png""}"
Product,"{""id"": 8, ""name"": ""Cargills Fresh Milk 1L"", ""desc"": ""Pasteurized milk"", ""cat_id"": 1, ""reorder"": 60, ""img"": ""cargills_milk.png""}"
Product,"{""id"": 9, ""name"": ""Prima Crust Bread"", ""desc"": ""Sliced bread"", ""cat_id"": 1, ""reorder"": 50, ""img"": ""prima_bread.png""}"
Product,"{""id"": 10, ""name"": ""Kist Mango Jam 300g"", ""desc"": ""Fruit jam"", ""cat_id"": 1, ""reorder"": 30, ""img"": ""kist_jam.png""}"
StockBatch,"{""id"": 20, ""product_id"": 2, ""supplier_id"": 2, ""cost"": 1209.54, ""retail"": 1572.41, ""qty"": 74, ""date"": ""2022-01-09T01:53:17"", ""exp"": ""2022-04-09T01:53:17""}"
StockBatch,"{""id"": 97, ""product_id"": 7, ""supplier_id"": 2, ""cost"": 1571.49, ""retail"": 2042.94, ""qty"": 112, ""date"": ""2022-01-11T09:03:06"", ""exp"": ""2022-04-11T09:03:06""}"
StockBatch,"{""id"": 12, ""product_id"": 1, ""supplier_id"": 1, ""cost"": 457.9, ""retail"": 595.27, ""qty"": 57, ""date"": ""2022-01-21T19:16:52"", ""exp"": ""2022-04-21T19:16:52""}"
StockBatch,"{""id"": 137, ""product_id"": 10, ""supplier_id"": 5, ""cost"": 416.46, ""retail"": 541.39, ""qty"": 167, ""date"": ""2022-01-26T10:47:29"", ""exp"": ""2022-04-26T10:47:29""}"
StockBatch,"{""id"": 50, ""product_id"": 4, ""supplier_id"": 4, ""cost"": 147.01, ""retail"": 191.11, ""qty"": 197, ""date"": ""2022-02-01T04:54:31"", ""exp"": ""2022-05-02T04:54:31""}"
StockBatch,"{""id"": 115, ""product_id"": 8, ""supplier_id"": 5, ""cost"": 374.75, ""retail"": 487.17, ""qty"": 191, ""date"": ""2022-02-22T23:42:31"", ""exp"": ""2022-05-23T23:42:31""}"
StockBatch,"{""id"": 73, ""product_id"": 5, ""supplier_id"": 4, ""cost"": 301.05, ""retail"": 391.37, ""qty"": 110, ""date"": ""2022-03-06T16:15:34"", ""exp"": ""2022-06-04T16:15:34""}"
